Complication and Colour ID,Complication Name,Colour
CHRONO.RED,Chronograph,Red
CHRONO.PNK,Chronograph,Pink
CHRONO.ORN,Chronograph,Orange
CHRONO.CHM,Chronograph,Champagne
CHRONO.LGRN,Chronograph,Light Green
CHRONO.GRN,Chronograph,Green
CHRONO.OLVGRN,Chronograph,Olive Green
CHRONO.DGRN,Chronograph,Dark Green
CHRONO.LBLU,Chronograph,Light Blue
CHRONO.BBLUE,Chronograph,Bright Blue
CHRONO.BLU,Chronograph,Blue
CHRONO.DBLU,Chronograph,Dark Blue
CHRONO.LPRP,Chronograph,Light Purple
CHRONO.PRP,Chronograph,Purple
CHRONO.DPRP,Chronograph,Dark Purple
CHRONO.WHT,Chronograph,White
CHRONO.SIL,Chronograph,Silver
CHRONO.GRY,Chronograph,Gray
CHRONO.WG,Chronograph,White Gold
CHRONO.YG,Chronograph,Yellow Gold
CHRONO.RG,Chronograph,Rose Gold
CHRONO.BLK,Chronograph,Black
DAY.RED,Day,Red
DAY.PNK,Day,Pink
DAY.ORN,Day,Orange
DAY.CHM,Day,Champagne
DAY.LGRN,Day,Light Green
DAY.GRN,Day,Green
DAY.OLVGRN,Day,Olive Green
DAY.DGRN,Day,Dark Green
DAY.LBLU,Day,Light Blue
DAY.BBLUE,Day,Bright Blue
DAY.BLU,Day,Blue
DAY.DBLU,Day,Dark Blue
DAY.LPRP,Day,Light Purple
DAY.PRP,Day,Purple
DAY.DPRP,Day,Dark Purple
DAY.WHT,Day,White
DAY.SIL,Day,Silver
DAY.GRY,Day,Gray
DAY.WG,Day,White Gold
DAY.YG,Day,Yellow Gold
DAY.RG,Day,Rose Gold
DAY.BLK,Day,Black
DATE.RED,Date,Red
DATE.PNK,Date,Pink
DATE.ORN,Date,Orange
DATE.CHM,Date,Champagne
DATE.LGRN,Date,Light Green
DATE.GRN,Date,Green
DATE.OLVGRN,Date,Olive Green
DATE.DGRN,Date,Dark Green
DATE.LBLU,Date,Light Blue
DATE.BBLU,Date,Bright Blue
DATE.BLU,Date,Blue
DATE.DBLU,Date,Dark Blue
DATE.LPRP,Date,Light Purple
DATE.PRP,Date,Purple
DATE.DPRP,Date,Dark Purple
DATE.WHT,Date,White
DATE.SIL,Date,Silver
DATE.GRY,Date,Gray
DATE.WG,Date,White Gold
DATE.YG,Date,Yellow Gold
DATE.RG,Date,Rose Gold
DATE.BLK,Date,Black
GMT.RED,GMT,Red
GMT.PNK,GMT,Pink
GMT.ORN,GMT,Orange
GMT.CHM,GMT,Champagne
GMT.LGRN,GMT,Light Green
GMT.GRN,GMT,Green
GMT.OLVGRN,GMT,Olive Green
GMT.DGRN,GMT,Dark Green
GMT.LBLU,GMT,Light Blue
GMT.BBLU,GMT,Bright Blue
GMT.BLU,GMT,Blue
GMT.DBLU,GMT,Dark Blue
GMT.LPRP,GMT,Light Purple
GMT.PRP,GMT,Purple
GMT.DPRP,GMT,Dark Purple
GMT.WHT,GMT,White
GMT.SIL,GMT,Silver
GMT.GRY,GMT,Gray
GMT.WG,GMT,White Gold
GMT.YG,GMT,Yellow Gold
GMT.RG,GMT,Rose Gold
GMT.BLK,GMT,Black
SKEL.RED,Skeleton,Red
SKEL.PNK,Skeleton,Pink
SKEL.ORN,Skeleton,Orange
SKEL.CHM,Skeleton,Champagne
SKEL.LGRN,Skeleton,Light Green
SKEL.GRN,Skeleton,Green
SKEL.OLVGRN,Skeleton,Olive Green
SKEL.DGRN,Skeleton,Dark Green
SKEL.LBLU,Skeleton,Light Blue
SKEL.BBLU,Skeleton,Bright Blue
SKEL.BLU,Skeleton,Blue
SKEL.DBLU,Skeleton,Dark Blue
SKEL.LPRP,Skeleton,Light Purple
SKEL.PRP,Skeleton,Purple
SKEL.DPRP,Skeleton,Dark Purple
SKEL.WHT,Skeleton,White
SKEL.SIL,Skeleton,Silver
SKEL.GRY,Skeleton,Gray
SKEL.WG,Skeleton,White Gold
SKEL.YG,Skeleton,Yellow Gold
SKEL.RG,Skeleton,Rose Gold
SKEL.BLK,Skeleton,Black
TOURB,Tourbillon,NONE
PC.RED,Perpetual Calendar,Red
PC.PNK,Perpetual Calendar,Pink
PC.ORN,Perpetual Calendar,Orange
PC.CHM,Perpetual Calendar,Champagne
PC.LGRN,Perpetual Calendar,Light Green
PC.GRN,Perpetual Calendar,Green
PC.OLVGRN,Perpetual Calendar,Olive Green
PC.DGRN,Perpetual Calendar,Dark Green
PC.LBLU,Perpetual Calendar,Light Blue
PC.BBLU,Perpetual Calendar,Bright Blue
PC.BLU,Perpetual Calendar,Blue
PC.DBLU,Perpetual Calendar,Dark Blue
PC.LPRP,Perpetual Calendar,Light Purple
PC.PRP,Perpetual Calendar,Purple
PC.DPRP,Perpetual Calendar,Dark Purple
PC.WHT,Perpetual Calendar,White
PC.SIL,Perpetual Calendar,Silver
PC.GRY,Perpetual Calendar,Gray
PC.WG,Perpetual Calendar,White Gold
PC.YG,Perpetual Calendar,Yellow Gold
PC.RG,Perpetual Calendar,Rose Gold
PC.BLK,Perpetual Calendar,Black
